Year,Make,Model,Body,Category,0-60,Top Speed,Rating,0_60_sec,TopSpeed_mph
1955-1959,Abarth,750 GT Zagato,Coupe,Sports-Rac...,15.0 secs,89mph,50.0,15.0,89.0
1960-1971,Abarth,1000,Saloon,Getaway Ca...,-,100mph,45.0,,100.0
1963-1964,Abarth,Simca 2000,Coupe,Sports-Rac...,6.0 secs,160mph,65.0,6.0,160.0
1963-1971,Abarth,595,Saloon,Microcar,28.3 secs,75mph,46.0,28.3,75.0
1965-1968,Abarth,OT 1300,Coupe,Sports-Rac...,7.0 secs,150mph,63.0,7.0,150.0
1953-1971,AC,Ace,Convertibl...,Grand Tour...,-,125mph,63.0,,125.0
1954-1963,AC,Aceca,Coupe,Grand Tour...,13.4 secs,102-130mph,48.0,13.4,102.0
1962-1966,AC,Cobra 289,Convertibl...,Grand Tour...,5.2 secs,138mph,72.0,5.2,138.0
1965-1967,AC,Cobra 427,Convertibl...,Grand Tour...,4.5 secs,150mph,76.0,4.5,150.0
1965-1973,AC,428,Convertibl...,Grand Tour...,6.0 secs,144mph,48.0,6.0,144.0
1922-1925,Alfa Romeo,RL,Coachbuilt,Grand Tour...,18.0 secs,85mph,64.0,18.0,85.0
1927-1929,Alfa Romeo,6C 1500,Coachbuilt,Grand Tour...,20.0 secs,75mph,62.0,20.0,75.0
1930-1933,Alfa Romeo,6C 1750,Coachbuilt,Grand Tour...,14.0 secs,95mph,77.0,14.0,95.0
1931-1934,Alfa Romeo,8C 2300,Coachbuilt,Grand Tour...,10.0 secs,115mph,88.0,10.0,115.0
1932-1935,Alfa Romeo,Tipo B Monoposto,Single Sea...,Competitio...,5.2 secs,162mph,80.0,5.2,162.0
1934-1937,Alfa Romeo,6C 2300,Coachbuilt,Grand Tour...,17.0 secs,94mph,62.0,17.0,94.0
1937-1938,Alfa Romeo,8C 2900,Coachbuilt,Grand Tour...,10.0 secs,130mph,92.0,10.0,130.0
1939-1953,Alfa Romeo,6C 2500,Coachbuilt,Grand Tour...,14.0 secs,105mph,60.0,14.0,105.0
1953-1959,Alfa Romeo,1900SS Zagato,Coupe,Grand Tour...,11.0 secs,112mph,68.0,11.0,112.0
1954-1962,Alfa Romeo,Giulietta Sprint,Coupe,Grand Tour...,14.8 secs,103mph,38.0,14.8,103.0
1956-1962,Alfa Romeo,Giulietta Spider,Convertibl...,Grand Tour...,14.0 secs,102mph,50.0,14.0,102.0
1959-1966,Alfa Romeo,Giulia SS,Coupe,Grand Tour...,12.0 secs,122mph,51.0,12.0,122.0
1960-1963,Alfa Romeo,Giulietta SZ,Coupe,Grand Tour...,11.0 secs,125mph,68.0,11.0,125.0
1962-1966,Alfa Romeo,2600 Spider,Convertibl...,Grand Tour...,11.1 secs,124mph,40.0,11.1,124.0
1963-1964,Alfa Romeo,TZ,Coupe,Sports-Rac...,7.0 secs,140mph,75.0,7.0,140.0
1963-1977,Alfa Romeo,Giulia,Coupe,Popular Cl...,10.6 secs,112-118-121mph,28.0,10.6,112.0
1964-1965,Alfa Romeo,TZ2,Coupe,Sports-Rac...,5.0 secs,160mph,85.0,5.0,160.0
1965-1968,Alfa Romeo,Giulia GTA,Coupe,Grand Tour...,8.0 secs,133mph,63.0,8.0,133.0
1966-1968,Alfa Romeo,Duetto,Convertibl...,Popular Cl...,11.3 secs,113mph,25.0,11.3,113.0
1967-1969,Alfa Romeo,Tipo 33 Stradale,Coupe,Supercar,5.5 secs,160mph,85.0,5.5,160.0
1970-1977,Alfa Romeo,Montreal,Coupe,Grand Tour...,7.5 secs,136mph,28.0,7.5,136.0
1989-1993,Alfa Romeo,SZ,Coupe,Popular Cl...,7.0 secs,145mph,51.0,7.0,145.0
1946-1953,Allard,K Type,Convertibl...,Grand Tour...,10.0 secs,112mph,38.0,10.0,112.0
1950-1954,Allard,J2,Convertibl...,Sports-Rac...,8.5 secs,130mph,62.0,8.5,130.0
1961-1977,Alpine,A110,Coupe,Rally,7.0 secs,130mph,50.0,7.0,130.0
1971-1984,Alpine,A310,Coupe,Grand Tour...,8.0 secs,137mph,28.0,8.0,137.0
1932-1936,Alvis,Speed 20,Coachbuilt,Grand Tour...,15.2 secs,89mph,48.0,15.2,89.0
1936-1937,Alvis,4.3 Litre,Coachbuilt,Grand Tour...,11.5 secs,103mph,58.0,11.5,103.0
1963-1966,Alvis,TE21 Drophead Coupé,Convertibl...,Grand Tour...,12.0 secs,108mph,53.0,12.0,108.0
1961-1965,Amphicar,770,Convertibl...,Amphibious,43.0 secs,70mph,28.0,43.0,70.0
1962-1967,ASA,1000 GT,Coupe,Grand Tour...,11.5 secs,115mph,50.0,11.5,115.0
1927-1935,Aston Martin,1 1/2 Litre,Convertibl...,Grand Tour...,18.0 secs,85mph,68.0,18.0,85.0
1934-1935,Aston Martin,Ulster,Open,Sports-Rac...,13.0 secs,110mph,78.0,13.0,110.0
1936-1940,Aston Martin,2.0 Litre,Convertibl...,Grand Tour...,15.0 secs,90mph,65.0,15.0,90.0
1948-1950,Aston Martin,DB1,Convertibl...,Grand Tour...,14.0 secs,93mph,58.0,14.0,93.0
1950-1959,Aston Martin,DB2,Coupe,Grand Tour...,9.3 secs,120mph,60.0,9.3,120.0
1950-1959,Aston Martin,DB2 Drophead Coupé,Convertibl...,Grand Tour...,9.3 secs,120mph,68.0,9.3,120.0
1951-1953,Aston Martin,DB3,Open,Sports-Rac...,8.5 secs,131mph,75.0,8.5,131.0
1953-1956,Aston Martin,DB3S,Open,Sports-Rac...,7.0 secs,146mph,80.0,7.0,146.0
1958-1963,Aston Martin,DB4,Coupe,Grand Tour...,9.0 secs,140mph,64.0,9.0,140.0
1959-1963,Aston Martin,DB4 GT,Coupe,Grand Tour...,6.1 secs,153mph,78.0,6.1,153.0
1960-1963,Aston Martin,DB4 GT Zagato,Coupe,Grand Tour...,6.1 secs,154mph,84.0,6.1,154.0
1961-1963,Aston Martin,DB4 Convertible,Convertibl...,Grand Tour...,8.9 secs,140mph,73.0,8.9,140.0
1963-1965,Aston Martin,DB5,Coupe,"Film Star,...",7.1 secs,148mph,65.0,7.1,148.0
1963-1965,Aston Martin,DB5 Convertible,Convertibl...,Grand Tour...,7.1 secs,145mph,75.0,7.1,145.0
1965-1970,Aston Martin,DB6,Coupe,Grand Tour...,6.3 secs,150mph,61.0,6.3,150.0
1965-1970,Aston Martin,DB6 Volante,Convertibl...,Grand Tour...,8.4 secs,140mph,72.0,8.4,140.0
1967-1972,Aston Martin,DBS,Coupe,Grand Tour...,8.5 secs,140/160mph,58.0,8.5,140.0
1972-1989,Aston Martin,V8,Coupe,Grand Tour...,7.0 secs,146mph,58.0,7.0,146.0
1976-1990,Aston Martin,Lagonda,Saloon,Grand Tour...,8.8 secs,144mph,50.0,8.8,144.0
1977-1989,Aston Martin,V8 Vantage,Coupe,Grand Tour...,5.2 secs,170mph,67.0,5.2,170.0
1978-1989,Aston Martin,V8 Volante,Convertibl...,Grand Tour...,5.3 secs,160mph,62.0,5.3,160.0
1992-2000,Aston Martin,Vantage,Coupe,Grand Tour...,4.6 secs,186mph,65.0,4.6,186.0
2001-2007,Aston Martin,Vanquish,Coupe,Grand Tour...,4.8 secs,190mph,50.0,4.8,190.0
1963-1964,ATS,2500 GT,Coupe,Grand Tour...,8.5 secs,150mph,78.0,8.5,150.0
1935-1936,Auburn,851 Speedster,Convertibl...,Grand Tour...,15.0 secs,105mph,63.0,15.0,105.0
1984-1985,Audi,Sport Quattro,Coupe,Grand Tour...,5.0 secs,154mph,58.0,5.0,154.0
